@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
34825.431, 29037.021
34765.735, 29090.394
34706.036, 29144.88
34645.498, 29197.141
34579.036, 29244.955
34511.752, 29287.209
34435.966, 29331.687
34371.225, 29375.053
34314.078, 29429.539
34257.797, 29480.688
34204.857, 29544.069
34154.405, 29620.794
34100.583, 29691.959
34045.048, 29766.459
33992.072, 29838.736
33941.69, 29901.005
33881.973, 29962.162
33867.482, 29974.394
33830.828, 30005.528
33777.126, 30051.118
33713.23, 30097.82
33653.63, 30133.403
33602.576, 30156.754
33546.419, 30182.328
33485.147, 30212.351
33414.549, 30239.038
33335.466, 30264.613
33260.683, 30277.956
33187.579, 30295.747
33123.835, 30309.091
33055.885, 30313.538
32972.67, 30313.538
32880.134, 30309.091
32785.905, 30303.531
32689.128, 30297.971
32593.195, 30293.523
32498.96, 30289.075
32412.372, 30283.516
32331.642, 30297.971
32240.656, 30327.994
32156.459, 30359.128
32082.434, 30394.711
32020.188, 30455.868
31955.297, 30540.376
31888.704, 30625.996
31823.816, 30710.504
31752.967, 30799.46
31681.275, 30887.304
31610.447, 30971.812
31542.188, 31051.873
31473.911, 31136.381
31405.649, 31217.553
31341.602, 31306.509
31277.588, 31387.681
31214.429, 31467.742
31147.862, 31551.138
31078.736, 31637.87
31010.465, 31723.49
30940.52, 31803.55
30862.078, 31885.835
30787.928, 31956.999
30710.388, 32027.052
30632.01, 32094.881
30559.598, 32157.15
30484.623, 32223.867
30402.83, 32297.256
30321.902, 32367.309
30247.775, 32435.138
30175.352, 32501.855
30094.427, 32571.907
30019.438, 32644.184
29952.099, 32714.237
29867.717, 32800.969
29802.958, 32863.238
29739.057, 32923.283
29676.011, 32982.217
29612.953, 33044.486
29541.385, 33112.315
29466.411, 33183.479
29388.878, 33257.98
29314.747, 33331.369
29244.012, 33404.757
29175.838, 33474.81
29104.261, 33547.087
29051.427, 33601.572
29000.313, 33650.498
28983.278, 33666.065
28970.495, 33679.409
28934.711, 33714.991
28905.751, 33741.678
28879.35, 33765.029
28833.364, 33805.059
28799.3, 33835.082
28801.74, 33862.88
28822.805, 33902.911
28843.827, 33954.06
28863.966, 34014.106
28884.054, 34087.494
28900.759, 34157.547
28912.444, 34208.697
28931.073, 34219.816
28952.414, 34187.57
28986.533, 34143.092
29024.909, 34095.278
29059.908, 34043.016
29101.727, 33982.971
29130.734, 33944.053
29146.089, 33924.038
29166.544, 33901.799
29205.745, 33860.657
29252.62, 33810.619
29304.614, 33753.909
29360.852, 33697.2
29414.515, 33648.274
29452.025, 33606.02
29460.561, 33593.789
29477.597, 33578.221
29497.954, 33581.557
29510.677, 33583.781
29509.837, 33581.557
29492.044, 33573.774
29469.923, 33587.117
29426.445, 33636.043
29373.605, 33691.64
29317.358, 33750.574
29266.222, 33805.059
29226.167, 33847.313
29201.441, 33876.224
29186.918, 33900.687
29153.671, 33938.493
29106.798, 33988.531
29054.798, 34047.464
29001.913, 34116.405
28954.969, 34185.346
28907.215, 34244.279
28845.103, 34285.421
28772.816, 34324.339
28708.172, 34362.146
28663.078, 34392.168
28626.619, 34383.273
28571.607, 34343.243
28507.28, 34297.653
28436.121, 34263.182
28388.632, 34253.175
28373.318, 34263.182
28364.806, 34269.854
28353.74, 34278.749
28343.522, 34287.645
28331.599, 34298.765
28320.524, 34309.884
28307.748, 34322.115
28294.118, 34335.459
28280.489, 34348.802
28266.012, 34362.146
28251.526, 34377.713
28237.044, 34392.168
28221.71, 34407.736
28206.371, 34424.415
28191.033, 34441.094
28176.543, 34457.773
28162.057, 34473.341
28149.273, 34487.796
28135.64, 34502.251
28124.562, 34514.483
28114.337, 34525.602
28105.817, 34534.498
28097.297, 34543.393
28091.332, 34550.065
28088.757, 34557.849
28088.728, 34565.632
28089.547, 34573.416
28090.383, 34576.752
28091.228, 34577.864
28092.068, 34580.088
28093.745, 34585.647
28095.417, 34592.319
28120.727, 34632.349
28125.802, 34636.797
28130.878, 34641.245
28136.793, 34647.917
28097.09, 34598.991
28099.602, 34607.886
28104.661, 34616.782
28111.425, 34623.454
28116.5, 34627.902
28146.099, 34655.7
28141.868, 34652.364
28147.796, 34655.7
28150.347, 34654.588
28152.048, 34653.476
28153.754, 34651.252
28156.312, 34647.917
28162.261, 34645.693
28169.062, 34642.357
28172.47, 34639.021
28173.335, 34634.573
28170.814, 34627.902
28168.293, 34621.23
28164.923, 34614.558
28160.709, 34606.774
28156.491, 34600.103
28153.121, 34593.431
28148.899, 34587.871
28142.151, 34576.752
28135.399, 34566.744
28127.799, 34556.737
28121.887, 34548.953
28117.673, 34541.169
28114.295, 34536.722
28113.455, 34534.498
28112.548, 34550.065
28129.438, 34572.304
28153.08, 34604.551
28166.587, 34623.454
28165.668, 34642.357
28147.809, 34652.364
28146.024, 34675.715
28159.507, 34701.29
28193.282, 34746.88
28232.123, 34799.142
28268.426, 34849.179
28264.149, 34858.075
28247.281, 34830.276
28216.885, 34789.134
28176.301, 34749.104
28144.252, 34695.73
28117.279, 34646.805
28097.893, 34611.222
28074.188, 34595.655
28070.802, 34593.431
28052.194, 34576.752
28039.601, 34540.058
28061.0, 34491.132
28108.695, 34445.542
28160.668, 34391.056
28217.741, 34334.347
28277.341, 34283.197
28345.45, 34226.488
28415.277, 34164.219
28485.102, 34103.061
28551.525, 34044.128
28618.814, 33980.747
28689.521, 33911.806
28764.489, 33838.418
28841.165, 33762.805
28917.847, 33686.08
28994.526, 33610.468
29072.051, 33535.967
29148.733, 33460.355
29224.563, 33385.854
29294.441, 33314.689
29364.311, 33245.749
29435.031, 33176.808
29501.495, 33111.203
29562.006, 33048.934
29615.696, 32994.448
29666.836, 32941.074
29723.088, 32883.253
29783.597, 32822.096
29846.655, 32760.939
29910.562, 32699.781
29971.915, 32640.848
30029.015, 32584.139
30081.845, 32534.101
30135.534, 32481.839
30190.077, 32428.466
30236.096, 32383.988
30274.453, 32345.07
30301.747, 32312.823
30306.135, 32277.241
30279.989, 32234.987
30242.86, 32179.389
30206.606, 32117.12
30165.276, 32050.403
30124.789, 31984.798
30090.24, 31920.305
30070.176, 31842.469
30059.317, 31797.991
30050.982, 31759.072
30042.644, 31721.266
30030.94, 31675.676
30017.551, 31626.75
30009.185, 31595.616
30000.779, 31574.489
29993.227, 31552.25
29979.033, 31492.205
29969.893, 31442.167
29961.638, 31383.234
29955.098, 31319.852
29943.476, 31253.135
29935.238, 31189.754
29928.684, 31129.709
29920.468, 31060.768
29911.437, 30982.932
29900.713, 30903.983
29892.474, 30840.602
29876.606, 30773.885
29860.724, 30710.504
29848.173, 30663.802
29836.488, 30612.653
29825.723, 30543.712
29826.849, 30473.659
29833.031, 30413.614
29841.711, 30365.8
29848.667, 30324.658
29853.094, 30279.068
29855.861, 30223.47
29857.784, 30166.761
29871.569, 30116.723
29889.543, 30081.141
29914.318, 30043.335
29929.753, 30005.528
29924.826, 29963.274
29918.966, 29942.147
29912.265, 29918.796
29897.081, 29893.222
29875.148, 29856.527
29842.149, 29826.505
29809.149, 29796.482
29785.433, 29780.915
29747.329, 29753.116
29693.104, 29721.981
29630.368, 29695.295
29574.386, 29678.615
29529.408, 29670.832
29498.053, 29654.152
29466.763, 29620.794
29421.868, 29591.883
29373.575, 29562.973
29316.786, 29535.174
29268.466, 29512.935
