@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
701,31198.386,31446.615,cluster29
702,31721.607,30786.117,cluster29
703,31805.442,30235.702,cluster29
704,31164.795,30125.619,cluster29
705,31122.66,29636.361,cluster29
706,31075.523,29122.641,cluster29
707,30808.968,28886.907,cluster29
708,30722.073,28535.531,cluster29
709,30453.773,28513.292,cluster29
710,30308.086,28414.329,cluster29
711,30396.799,28319.813,cluster29
712,30520.329,28227.522,cluster29
713,30913.907,28356.508,cluster29
714,31096.695,29137.096,cluster29
715,31145.809,29582.988,cluster29
716,31194.658,30091.149,cluster29
717,31508.451,30185.664,cluster29
718,32130.374,30303.531,cluster29
719,31938.249,30555.943,cluster29
720,31612.155,30969.588,cluster29
721,31067.64,31652.325,cluster29
722,30666.975,32055.963,cluster28
723,30033.162,32608.602,cluster28
724,29541.424,33102.307,cluster28
725,28945.783,33704.984,cluster28
726,28943.211,33711.655,cluster28
727,28508.782,34125.3,cluster37
728,28270.201,34376.601,cluster37
729,28254.858,34394.392,cluster37
730,28248.876,34405.512,cluster37
731,28294.01,34364.37,cluster37
732,28338.413,34292.093,cluster37
733,28128.298,34423.303,cluster37
734,28691.21,33914.03,cluster28
735,29354.064,33261.316,cluster28
736,29934.374,32688.662,cluster28
737,30637.284,32050.403,cluster28
738,31231.626,31415.48,cluster29
739,31926.455,30533.704,cluster29
740,32408.222,30261.277,cluster2
741,33122.25,30283.516,cluster2
742,33394.159,30050.006,cluster2
743,33396.504,29520.719,cluster2
744,33613.426,29247.179,cluster2
745,33652.173,29128.2,cluster2
746,33524.424,29018.117,cluster2
