@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
609,28029.305,34570.08,cluster38
610,27838.464,34312.108,cluster38
611,27439.063,34222.04,cluster38
612,27074.429,34137.532,cluster38
613,26733.496,34068.591,cluster38
614,26460.52,33980.747,cluster38
615,26380.811,33718.327,cluster38
616,26147.963,33313.577,cluster6
617,25709.933,33080.068,cluster6
618,25254.114,32827.656,cluster6
619,24668.21,32369.533,cluster6
620,24554.053,31712.371,cluster6
621,24531.643,31294.278,cluster24
622,24292.71,31141.941,cluster24
623,23659.508,31084.119,cluster3
624,23284.006,31156.396,cluster3
625,23187.243,31423.264,cluster3
626,23303.809,31342.091,cluster3
627,23312.372,31044.089,cluster3
628,23833.668,31050.761,cluster3
629,24276.647,31120.814,cluster24
630,24563.59,31130.821,cluster24
631,24564.179,31731.274,cluster6
632,24662.76,32219.419,cluster6
633,25123.68,32740.924,cluster6
634,25782.852,33103.419,cluster6
635,26214.076,33340.264,cluster6
636,26430.595,33801.723,cluster38
637,26623.204,33817.29,cluster38
638,26795.495,34056.36,cluster38
639,27180.453,34155.323,cluster38
640,27678.231,34266.518,cluster38
641,27883.444,34312.108,cluster38
642,28036.202,34541.169,cluster38
643,28106.3,34632.349,cluster38
644,28117.374,34621.23,cluster38
645,28103.887,34596.767,cluster38
646,28098.833,34586.759,cluster38
647,28164.52,34722.417,cluster38
648,28205.012,34786.91,cluster38
649,28008.441,34703.514,cluster38
650,27721.197,35273.944,cluster38
651,27518.595,35913.315,cluster17
652,27211.545,36117.914,cluster17
653,26431.87,35613.089,cluster17
654,25648.558,35646.447,cluster16
655,24760.397,35827.695,cluster16
656,24213.351,36015.614,cluster16
657,24271.218,36225.773,cluster16
658,24194.58,36047.861,cluster16
659,24440.472,35838.814,cluster16
660,25468.635,35656.455,cluster16
661,26491.338,35593.073,cluster17
662,27166.176,35758.754,cluster17
663,27118.453,36051.197,cluster17
664,27521.763,36206.869,cluster17
665,27484.633,36383.669,cluster17
666,27595.686,36409.244,cluster17
667,27960.789,36107.906,cluster17
668,27613.223,36023.398,cluster17
669,27564.833,35798.784,cluster17
670,27720.197,35315.086,cluster38
671,27819.997,35174.981,cluster38
672,27956.125,34851.403,cluster38
673,28158.945,34851.403,cluster38
674,28385.917,34747.992,cluster38
675,28555.484,35013.748,cluster38
676,28639.95,35117.159,cluster38
677,28933.131,35229.466,cluster38
678,29066.143,35285.064,cluster38
679,28780.57,35181.652,cluster38
680,28669.621,35124.943,cluster38
681,28430.638,34815.821,cluster38
682,28571.075,34483.348,cluster38
683,28785.157,34204.249,cluster38
684,28842.812,33997.426,cluster8
685,29076.807,33842.865,cluster8
686,29015.843,33805.059,cluster8
687,28993.849,33786.156,cluster8
688,28965.172,33739.454,cluster8
689,28945.753,33712.767,cluster8
690,28605.032,34034.121,cluster38
691,28293.232,34345.466,cluster38
692,28248.876,34405.512,cluster38
693,28304.194,34364.37,cluster38
694,28304.298,34336.571,cluster38
695,28108.699,34444.43,cluster38
696,28786.637,33817.29,cluster8
697,29323.399,33289.115,cluster8
698,29988.932,32630.841,cluster0
699,30690.994,31994.806,cluster0
700,31353.724,31249.8,cluster18
701,31721.607,30786.117,cluster18
702,31805.442,30235.702,cluster18
703,31166.94,30017.76,cluster18
704,31122.66,29636.361,cluster18
705,31070.625,29074.827,cluster18
706,30816.089,29014.782,cluster18
707,30722.073,28535.531,cluster18
708,30453.773,28513.292,cluster18
709,30338.792,28382.082,cluster18
710,30396.799,28319.813,cluster18
711,30567.058,28224.186,cluster18
712,30968.631,28474.374,cluster18
713,31076.344,28923.602,cluster18
714,31145.001,29572.98,cluster18
715,31194.658,30091.149,cluster18
716,31508.451,30185.664,cluster18
717,32130.374,30303.531,cluster18
718,31938.249,30555.943,cluster18
719,31554.961,31042.977,cluster18
720,31159.803,31537.795,cluster0
721,30666.975,32055.963,cluster0
722,29915.536,32729.804,cluster0
723,29445.134,33197.935,cluster8
724,28945.783,33704.984,cluster8
725,28945.753,33712.767,cluster8
726,28409.967,34222.04,cluster38
727,28667.945,35119.383,cluster38
728,28252.295,34398.84,cluster38
729,28242.918,34409.959,cluster38
730,28409.791,34268.742,cluster38
731,28090.533,34536.722,cluster38
732,28383.737,34200.913,cluster38
733,28892.286,33711.655,cluster8
734,29511.707,33104.531,cluster8
735,30173.81,32462.936,cluster0
736,30924.472,31783.535,cluster0
737,31523.518,31049.649,cluster18
738,32067.386,30339.113,cluster18
739,32573.746,30274.62,cluster18
740,33271.31,30178.992,cluster1
741,33371.057,29897.669,cluster1
742,33473.531,29386.173,cluster1
743,33717.433,29158.223,cluster1
744,33506.189,29108.185,cluster1
745,33543.059,29029.237,cluster1
746,33733.038,29087.058,cluster1
